Fecha	EdBxCdR	EdBxAdM	EPxCdR	EPxAdM	ROA	ROE	AdMF	RdS	CadCxCdR	CadCxAdM	CodCxCdR	CodCxAdM	L
jun-03	1,24677728	1,285867617	0,752959199	0,490054531	0,019730784	0,202227795	0,717726569	0,121119694	0,198906671	0,086315387	0,374881791	0,86388408	0,207931155
jul-03	1,242754918	1,28078297	0,733061197	0,484607656	0,020227053	0,204320621	0,711633381	0,127810213	0,190042229	0,084553256	0,391223299	0,879315022	0,207045991
ago-03	1,251262982	1,290215053	0,719184685	0,466153274	0,020775219	0,207214597	0,70483943	0,125490593	0,190744291	0,084420135	0,38519728	0,870339551	0,2067792
sep-03	1,248318499	1,284658385	0,71723742	0,475941642	0,020398627	0,201364366	0,707687868	0,122879017	0,185175659	0,082601255	0,395312661	0,886212718	0,19192687
oct-03	1,248212007	1,284160055	0,690381626	0,45289653	0,0201132	0,196522735	0,711013245	0,121846364	0,17994936	0,080412673	0,398959117	0,892800038	0,190358017
nov-03	1,267716892	1,302125875	0,68396332	0,454819134	0,019912057	0,193113144	0,712802153	0,120755065	0,180863423	0,078599859	0,390739925	0,89911816	0,203581473
dic-03	1,283547815	1,318706531	0,733733428	0,501924689	0,019854774	0,191304588	0,713456501	0,121424913	0,173109318	0,072581879	0,392755275	0,93672965	0,204064862
ene-04	1,279486663	1,314104522	0,659165677	0,435703732	0,024695224	0,253922501	0,659960233	0,130512478	0,170677655	0,074411078	0,40348674	0,925482765	0,227043568
feb-04	1,275493355	1,309682354	0,623633504	0,402186842	0,025725446	0,262404023	0,647362344	0,131548891	0,167476398	0,072424059	0,409315956	0,946519204	0,229930414
mar-04	1,279498337	1,312671222	0,636105345	0,418471002	0,031132057	0,321333165	0,613838011	0,128312776	0,167036376	0,07221172	0,41707996	0,96476756	0,239592873
abr-04	1,285527696	1,318175675	0,614809755	0,40038637	0,028292031	0,287456988	0,631737381	0,126903947	0,164255518	0,072067527	0,420359454	0,958078671	0,249867247
may-04	1,273213688	1,306253161	0,622876221	0,405266916	0,026489179	0,265527589	0,641049554	0,126244405	0,164004925	0,067978185	0,400760348	0,966878868	0,232847768
jun-04	1,277562243	1,309131175	0,605998013	0,397040741	0,0257951	0,256225163	0,649807456	0,129636819	0,148294253	0,057609924	0,412969314	1,063028244	0,225761974
jul-04	1,278003754	1,308983027	0,569231856	0,366898817	0,025391543	0,249451674	0,653167105	0,133495786	0,14369923	0,057234856	0,422255547	1,060154618	0,233809983
ago-04	1,272332864	1,30174751	0,538647099	0,345972936	0,026126727	0,254215938	0,64989278	0,132970485	0,134984061	0,051746305	0,435001124	1,134732582	0,224636732
sep-04	1,282185752	1,311051554	0,510610265	0,31925503	0,026705417	0,257804761	0,643177797	0,129236326	0,126228872	0,046459262	0,45033427	1,223549065	0,238079132
oct-04	1,284693658	1,312743793	0,468816368	0,28394402	0,026477994	0,253144911	0,645965202	0,129272325	0,123090411	0,045092116	0,447307817	1,221040566	0,219087501
nov-04	1,296909902	1,32363099	0,497191305	0,323615922	0,026279602	0,248857864	0,648078943	0,12902142	0,117544078	0,042673724	0,440272178	1,212722544	0,247492559
dic-04	1,338630753	1,364199723	0,466361563	0,306523448	0,026900735	0,252155571	0,643442205	0,129172073	0,105029451	0,034958195	0,470954813	1,414950786	0,264340944
ene-05	1,309587173	1,334390875	0,430723948	0,275020843	0,025924716	0,257432958	0,628477814	0,145786509	0,107061776	0,036697119	0,46279595	1,350181107	0,270413966
feb-05	1,310238479	1,334627583	0,418666027	0,268274286	0,027693313	0,271359959	0,630815089	0,145018812	0,106093463	0,037358052	0,461997551	1,31203095	0,2617313
mar-05	1,297868404	1,322141906	0,471935599	0,31212167	0,025833312	0,253840589	0,64617047	0,130512896	0,105341999	0,036239642	0,450847863	1,310532114	0,266374718
abr-05	1,318656671	1,342305558	0,398755053	0,244937358	0,027788936	0,274003487	0,633878663	0,131137791	0,102469277	0,035692697	0,462958637	1,329096446	0,268308427
may-05	1,310071535	1,333144927	0,409358213	0,262144145	0,028268511	0,276140973	0,629157763	0,131274873	0,104045118	0,035810328	0,451097926	1,310642463	0,261028341
jun-05	1,309830196	1,333153941	0,413855765	0,268141828	0,029779719	0,2876746	0,60818523	0,13048868	0,099781098	0,033418194	0,459935387	1,373289607	0,263311307
jul-05	1,304695167	1,325364885	0,363503452	0,23414241	0,029372862	0,279441333	0,618775131	0,13008396	0,099705963	0,03325569	0,451305554	1,353087375	0,277709703
ago-05	1,303341776	1,32417109	0,358019977	0,228807767	0,029296991	0,274677194	0,615964058	0,129887023	0,09428543	0,032830782	0,48084201	1,380911248	0,265925246
sep-05	1,316373662	1,336893835	0,329990963	0,206043442	0,030892695	0,285522588	0,607918391	0,128212181	0,088108817	0,031548202	0,513806894	1,43497617	0,285855517
oct-05	1,305047623	1,324152515	0,323280901	0,206398825	0,029680127	0,270216942	0,616912801	0,125428525	0,088825203	0,032522704	0,507299361	1,385523457	0,282398555
nov-05	1,321685738	1,340939771	0,328005296	0,211996307	0,028938722	0,259947405	0,62117749	0,128652946	0,089852421	0,031292994	0,492013207	1,412730852	0,296770607
dic-05	1,367486632	1,387923394	0,315881691	0,195498941	0,027891996	0,247716135	0,628826348	0,12906056	0,082322275	0,026639393	0,54016749	1,669250343	0,275155102
ene-06	1,331861791	1,351013539	0,286256817	0,175330412	0,022324941	0,199104721	0,684411893	0,152166417	0,085205158	0,028748248	0,526886637	1,561606808	0,268147464
feb-06	1,32557069	1,344488232	0,270247716	0,161275251	0,024804164	0,219809387	0,636008505	0,151047947	0,081327843	0,02897468	0,550388322	1,544862467	0,263088905
mar-06	1,324313238	1,343234527	0,27593809	0,159847888	0,029208543	0,264954018	0,608154639	0,136881296	0,081570966	0,029581007	0,551690396	1,521311228	0,259452796
abr-06	1,364991974	1,383837935	0,280968396	0,168039585	0,027376588	0,247830068	0,627963846	0,133128533	0,081250594	0,030213997	0,540708485	1,454057395	0,250049073
may-06	1,305409977	1,323248474	0,31508976	0,194150036	0,023091743	0,21019483	0,66125397	0,123963877	0,079332276	0,034720661	0,544436165	1,243967117	0,208590914
jun-06	1,299766308	1,316731434	0,322123278	0,201130806	0,020471132	0,188442903	0,681099841	0,117750483	0,074326358	0,027536373	0,554498956	1,496707214	0,174992331
jul-06	1,296206108	1,313098744	0,296995084	0,183107466	0,020281241	0,186904428	0,685931415	0,122166612	0,074586518	0,028573153	0,554003895	1,446155455	0,155733715
ago-06	1,304575492	1,320794895	0,278868486	0,174320279	0,021714076	0,199313512	0,676701093	0,126156678	0,07009442	0,026328063	0,582439848	1,550656526	0,131164094
sep-06	1,306121393	1,322168129	0,270742641	0,163671569	0,021283259	0,194814918	0,681377931	0,121480677	0,067811089	0,026700036	0,599981749	1,523796292	0,127210753
oct-06	1,300383202	1,315776658	0,270554491	0,169214019	0,021243841	0,1934834	0,678648887	0,124401552	0,06867302	0,027120735	0,596529951	1,510486871	0,125682359
nov-06	1,319313329	1,333967273	0,268802642	0,173176021	0,020543588	0,18617305	0,682266884	0,121386543	0,064792553	0,02665112	0,62024919	1,507911445	0,139462007
dic-06	1,349955565	1,365456932	0,295976342	0,19998873	0,020829989	0,187427416	0,683229494	0,122612264	0,065976147	0,025543082	0,61203263	1,580841125	0,129429581
ene-07	1,319517336	1,334554939	0,267120885	0,172965588	0,014180572	0,131434895	0,726672899	0,132523577	0,065694846	0,026933121	0,617708918	1,50670588	0,112377118
feb-07	1,308997392	1,323575701	0,239867067	0,145512339	0,015924068	0,149318232	0,734273432	0,129743061	0,065979048	0,02760217	0,613192754	1,465749772	0,101568949
mar-07	1,338330385	1,35357168	0,254089127	0,15362427	0,024210043	0,235523194	0,653507812	0,117750091	0,067526316	0,027615044	0,602656914	1,473660564	0,135983832
abr-07	1,332706612	1,347289149	0,236798443	0,139641952	0,022756177	0,220935623	0,668562063	0,12031412	0,066935708	0,028993765	0,609386967	1,406845513	0,124736752
may-07	1,363468789	1,378981462	0,249051079	0,149979713	0,022401858	0,216098133	0,675584573	0,125921604	0,06433189	0,028121048	0,63057667	1,442556087	0,124199336
jun-07	1,322415728	1,337184782	0,2503201	0,153661172	0,022589996	0,216402102	0,676720352	0,125547723	0,070373724	0,029078616	0,582707822	1,41022254	0,091086341
jul-07	1,337381364	1,354828578	0,249855441	0,1445916	0,022457338	0,211204743	0,684308788	0,135831748	0,066973772	0,03016391	0,629535215	1,397774619	0,118048171
ago-07	1,322701814	1,339803681	0,233612481	0,129931662	0,024197068	0,224326954	0,669381526	0,134401579	0,066948064	0,030148172	0,61947473	1,375628918	0,093844962
sep-07	1,343243391	1,359054603	0,23938265	0,138267134	0,02221211	0,204243163	0,687092438	0,129230545	0,066000272	0,030855832	0,629540351	1,34657961	0,105138319
oct-07	1,318494769	1,334396778	0,245129076	0,14232499	0,021951982	0,200459157	0,68737052	0,129405239	0,068624193	0,031619893	0,610219148	1,324349724	0,091427461
nov-07	1,332753657	1,348419851	0,265772437	0,165303608	0,021896714	0,198706581	0,68904994	0,127168992	0,067558716	0,032720869	0,616106633	1,272074181	0,106546643
dic-07	1,35688478	1,373845999	0,282414029	0,179470539	0,021994501	0,19773699	0,693986313	0,131080041	0,067910489	0,031614325	0,634061603	1,362022848	0,100951102
ene-08	1,34950697	1,36625843	0,271112092	0,167648495	0,017656005	0,166693991	0,68512308	0,140203413	0,070848784	0,034028835	0,619660074	1,290145929	0,101060723
feb-08	1,308416612	1,323615319	0,25217789	0,15633517	0,019773001	0,185628184	0,678460139	0,139007098	0,071822191	0,034895858	0,607309462	1,24995626	0,084269666
mar-08	1,317400521	1,33326229	0,297243227	0,193340323	0,028306521	0,274639328	0,634247372	0,128141051	0,072543469	0,037278587	0,608264021	1,183670989	0,091902892
abr-08	1,339667262	1,355093767	0,255731851	0,155956892	0,027489787	0,26555408	0,643368067	0,132516607	0,072346259	0,037854768	0,628458634	1,201080682	0,089734371
may-08	1,337895293	1,353977891	0,257777502	0,157004518	0,026981577	0,257292248	0,656646777	0,132498097	0,074409509	0,03871464	0,618259013	1,188293343	0,097216215
jun-08	1,327367929	1,343300181	0,261474019	0,159429439	0,025669445	0,242171047	0,67441289	0,129766235	0,073909234	0,036783975	0,605355602	1,216327751	0,066437913
jul-08	1,320540576	1,339824254	0,285543714	0,165137093	0,02652672	0,247570448	0,667281351	0,133989952	0,081323098	0,037007219	0,565348572	1,242349411	0,065603594
ago-08	1,3185136	1,337430042	0,25144249	0,135037202	0,026524841	0,244097777	0,665896131	0,133676724	0,084739125	0,038994759	0,552958391	1,201628408	0,076511585
sep-08	1,321680884	1,340363046	0,281508441	0,162601253	0,026635966	0,243183868	0,669314122	0,125844447	0,083094184	0,038661637	0,55969971	1,202944148	0,08235826
oct-08	1,300085867	1,318440708	0,278486195	0,158476199	0,025744812	0,23328409	0,6795142	0,123474118	0,085199901	0,038413369	0,538956377	1,195391905	0,075703811
nov-08	1,324914529	1,34381243	0,283834903	0,163217976	0,025138809	0,226078685	0,683531022	0,12378561	0,090547167	0,040929778	0,519875383	1,150097686	0,085785856
dic-08	1,338675089	1,358160621	0,305376832	0,185290272	0,024331555	0,21682283	0,693170224	0,124702071	0,086624341	0,037835041	0,549931665	1,25908329	0,100308727
ene-09	1,330380878	1,349118244	0,273952173	0,158968493	0,021484378	0,200527609	0,707942553	0,140231237	0,088673244	0,040916005	0,54862048	1,188971337	0,117023743
feb-09	1,316276661	1,335555662	0,266108793	0,147869047	0,02437036	0,226369407	0,690029774	0,140715959	0,090442787	0,041950018	0,544934582	1,174860097	0,125608009
mar-09	1,316601621	1,336232295	0,277621298	0,15343811	0,028626126	0,269361772	0,662458353	0,136564468	0,092759242	0,042776566	0,54750674	1,187246073	0,134537668
abr-09	1,329277637	1,349503841	0,276234425	0,151951297	0,027065907	0,251167551	0,652376985	0,1377427	0,094290254	0,044363391	0,549916656	1,168796621	0,121932923
may-09	1,333470014	1,35400474	0,256301759	0,132887519	0,025466309	0,23232705	0,6639513	0,13582636	0,095132436	0,044285233	0,539343325	1,158603913	0,133096509
jun-09	1,329341384	1,350062987	0,273657864	0,149625835	0,024476503	0,220170483	0,669606387	0,136911604	0,092468449	0,043423306	0,554920539	1,18168437	0,117032213
jul-09	1,316776436	1,337082136	0,260773426	0,141578301	0,02405303	0,212969523	0,670331433	0,140576883	0,090787594	0,042714948	0,57366439	1,21928301	0,123866469
ago-09	1,336679559	1,357445135	0,246175065	0,129232566	0,023488963	0,204406294	0,674949862	0,141561019	0,092152323	0,044754092	0,579787999	1,193830747	0,12397167
sep-09	1,336769893	1,359267923	0,246155243	0,121537941	0,024235813	0,207675654	0,664511868	0,141116845	0,09068107	0,042866055	0,584502759	1,236487362	0,126911187
oct-09	1,335319342	1,355056414	0,225041496	0,114655115	0,023552852	0,198990398	0,668096806	0,140947846	0,0909154	0,043133224	0,590949789	1,245592882	0,141735586
nov-09	1,363367114	1,383724166	0,256593607	0,145235796	0,023190271	0,193566371	0,670391178	0,138974473	0,09156076	0,043313584	0,593791965	1,255219233	0,153212342
dic-09	1,368237217	1,389275602	0,254872418	0,143964576	0,022404505	0,184455401	0,676939891	0,140531222	0,09342619	0,039134049	0,582734126	1,391183125	0,144328759
ene-10	1,374970639	1,395008591	0,22959234	0,121970446	0,012990717	0,105550626	0,742964264	0,152402234	0,093189488	0,041190914	0,585078165	1,323668955	0,141620946
feb-10	1,363227871	1,383669239	0,219356011	0,110811849	0,018908291	0,153892413	0,680992381	0,15309626	0,093308034	0,042034604	0,581064549	1,289841817	0,135684577
mar-10	1,355100009	1,375919778	0,245410986	0,131181265	0,028381075	0,236738599	0,607078379	0,143943616	0,095633707	0,04257899	0,570879262	1,282212201	0,140795964
abr-10	1,369960073	1,390303992	0,227797692	0,118339267	0,026568716	0,219041067	0,617769684	0,143180963	0,09161342	0,042587935	0,590349594	1,269935835	0,145113353
may-10	1,374679272	1,395362073	0,223287252	0,115113066	0,025072691	0,203554642	0,63195498	0,144217908	0,090650667	0,040623611	0,588966215	1,314264761	0,144444604
jun-10	1,36138093	1,38254319	0,227459895	0,113236393	0,024255938	0,195372893	0,638875081	0,141658116	0,089771319	0,037693895	0,579694753	1,380593946	0,120853073
jul-10	1,366668309	1,3871498	0,211012825	0,102225719	0,024105153	0,192449131	0,63868597	0,151172645	0,088409714	0,03807166	0,584984067	1,358445474	0,133931014
ago-10	1,373687808	1,393947796	0,204836003	0,09890934	0,024334746	0,192475017	0,637880445	0,15211075	0,083479247	0,036494716	0,615414878	1,407720796	0,125642301
sep-10	1,364857201	1,385067498	0,19576312	0,090230006	0,023853863	0,186722525	0,639545962	0,148534755	0,078026335	0,033105634	0,639263454	1,5066736	0,108012386
oct-10	1,365272405	1,38559968	0,177334501	0,070668004	0,023138073	0,179460163	0,641850193	0,148567339	0,077750385	0,032861357	0,628586848	1,487244385	0,10792637
nov-10	1,370784118	1,391426431	0,208950042	0,100631498	0,022032206	0,169586785	0,650694077	0,142801381	0,074599618	0,031314663	0,64517875	1,536982503	0,122332104
dic-10	1,374505626	1,395217389	0,204838122	0,094302093	0,021832087	0,167185632	0,656207003	0,14127122	0,075486806	0,027783381	0,635202026	1,725829288	0,122778103
ene-11	1,36824597	1,388220252	0,204086478	0,09676526	0,01512879	0,122406076	0,697898281	0,150060554	0,076094693	0,029603266	0,634325928	1,630524029	0,121836533
